Date_IV	Tcham_IV	Port#	Exp_Flux	DOY_IV	
2018-08-20 23:34:53	30.51	1	-0.060000	232.98256	
2018-08-20 23:38:52	30.5573	2		232.984	
2018-08-20 23:42:54	30.06	3	-0.190000	232.98812	
2018-08-20 23:46:56	29.84	4	-0.080000	232.99093	
2018-08-20 23:50:58	29.97	5	-0.180000	232.99373	
2018-08-20 23:54:59	29.99	6	-0.090000	232.99652	
2018-08-20 23:59:02	29.61	7	-0.780000	232.99933	
2018-08-21 00:03:03	29.58	8	-0.140000	233.00212	
2018-08-21 00:07:07	29.71	1	-0.020000	233.00494	
2018-08-21 00:11:07	29.87	2	0.110000	233.00772	
2018-08-21 00:15:07	29.34	3	-0.070000	233.01050	
2018-08-21 00:19:06	29.45	4	0.010000	233.01326	
2018-08-21 00:23:06	29.32	5	0.000000	233.01604	
2018-08-21 00:27:07	29.31	6	0.040000	233.01883	
2018-08-21 00:31:08	29.53	7	0.030000	233.02162	
2018-08-21 00:35:07	29.36	8	-0.050000	233.02439	
2018-08-21 00:39:09	29.69	1	-0.010000	233.02719	
2018-08-21 00:43:09	29.94	2	0.340000	233.02997	
2018-08-21 00:47:11	29.31	3	-0.020000	233.03277	
2018-08-21 00:51:12	29.27	4	0.010000	233.03556	
2018-08-21 00:55:11	29.21	5	-0.030000	233.03832	
2018-08-21 00:59:13	29.42	6	0.010000	233.04112	
2018-08-21 01:03:14	29.23	7	0.040000	233.04391	
2018-08-21 01:07:15	29.46	8	-0.050000	233.04670	
2018-08-21 01:11:17	29.33	1	0.100000	233.04950	
2018-08-21 01:15:17	29.19	2	0.050000	233.05228	
2018-08-21 01:19:17	28.95	3	-0.010000	233.05506	
2018-08-21 01:23:17	29.17	4	0.010000	233.05784	
2018-08-21 01:27:17	29.13	5	-0.010000	233.06061	
2018-08-21 01:31:18	29.05	6	0.000000	233.06340	
2018-08-21 01:35:18	28.96	7	0.000000	233.06618	
2018-08-21 01:39:19	28.96	8	-0.050000	233.06897	
2018-08-21 01:43:23	28.9	1	0.000000	233.07179	
2018-08-21 01:47:23	28.73	2	0.060000	233.07457	
2018-08-21 01:51:23	28.34	3	-0.010000	233.07735	
2018-08-21 01:55:24	28.53	4	0.010000	233.08014	
2018-08-21 01:59:23	28.62	5	0.110000	233.08291	
2018-08-21 02:03:25	28.2	6	0.100000	233.08571	
2018-08-21 02:07:26	27.94	7	0.030000	233.08850	
2018-08-21 02:11:26	27.74	8	-0.050000	233.09127	
2018-08-21 02:15:28	27.81	1	-0.010000	233.09407	
2018-08-21 02:19:29	27.94	2	0.020000	233.09686	
2018-08-21 02:23:29	27.64	3	-0.230000	233.09964	
2018-08-21 02:27:31	27.38	4	0.000000	233.10244	
2018-08-21 02:31:30	27.38	5	-0.020000	233.10521	
2018-08-21 02:35:32	27.66	6	0.010000	233.10801	
2018-08-21 02:39:33	27.73	7	-0.020000	233.11080	
2018-08-21 02:43:32	28.07	8	-0.060000	233.11356	
2018-08-21 02:47:36	27.59	1	0.030000	233.11639	
2018-08-21 02:51:35	27.73	2	0.040000	233.11916	
2018-08-21 02:55:36	27.07	3	-0.040000	233.12194	
2018-08-21 02:59:36	27.04	4	0.060000	233.12472	
2018-08-21 03:03:35	26.95	5	0.010000	233.12749	
2018-08-21 03:07:36	26.9636	6		233.129	
2018-08-21 03:11:38	26.74	7	0.080000	233.13308	
2018-08-21 03:15:37	26.52	8	-0.160000	233.13584	
2018-08-21 03:19:40	26.23	1	-0.010000	233.13866	
2018-08-21 03:23:41	26.98	2	0.170000	233.14145	
2018-08-21 03:27:41	26.59	3	-0.080000	233.14422	
2018-08-21 03:31:40	26.41	4	0.010000	233.14699	
2018-08-21 03:35:42	26.63	5	-0.050000	233.14979	
2018-08-21 03:39:46	26.39	6	0.010000	233.15262	
2018-08-21 03:43:46	26.42	7	0.040000	233.15539	
2018-08-21 03:47:46	26.43	8		233.157	
2018-08-21 03:51:50	26.99	1	-0.140000	233.16100	
2018-08-21 03:55:49	27.01	2	0.060000	233.16376	
2018-08-21 03:59:49	26.98	3	-0.200000	233.16654	
2018-08-21 04:03:49	26.54	4	-0.010000	233.16932	
2018-08-21 04:07:50	26.75	5	0.160000	233.17211	
2018-08-21 04:11:51	26.37	6	-0.110000	233.17490	
2018-08-21 04:15:55	26.92	7	-0.070000	233.17772	
2018-08-21 04:19:55	27.04	8	-0.050000	233.18050	
